AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LAT_DEGREES,LAT_HEMISPHERE,LATITUDE,LONGITUDE,AIRPORT_IS_LATEST
1314602,13146,LZC,Lazaro Cardenas Airport,"Lazaro Cardenas, Mexico",148,Mexico,MX,,,,33146,"Lazaro Cardenas, Mexico",148,18,N,18.00166667,-102.22111111,0
1314603,13146,LZC,Lazaro Cardenas Airport,"Lazaro Cardenas, Mexico",148,Mexico,MX,,,,33146,"Lazaro Cardenas, Mexico",148,18,N,18.00166667,-102.22027778,1
1314701,13147,LZH,Liuzhou South,"Liuzhou, China",713,China,CN,,,,33147,"Liuzhou, China",713,24,N,24.20777778,109.39138889,0
1314702,13147,LZH,Liuzhou Bailian,"Liuzhou, China",713,China,CN,,,,33147,"Liuzhou, China",713,24,N,24.20777778,109.39138889,1
1314901,13149,LZO,Luzhou Airport,"Luzhou, China",713,China,CN,,,,33149,"Luzhou, China",713,28,N,28.88333333,105.35000000,0
1314902,13149,LZO,Luzhou Airport,"Luzhou, China",713,China,CN,,,,33149,"Luzhou, China",713,28,N,28.85250000,105.39250000,1
1315001,13150,LZR,Lizard Island Airport,"Lizard Island, Australia",802,Australia,AU,,,,33150,"Lizard Island, Australia",802,14,S,-14.66666667,145.45027778,0
1315002,13150,LZR,Lizard Island Airport,"Lizard Island, Australia",802,Australia,AU,,,,33150,"Lizard Island, Australia",802,14,S,-14.67277778,145.45416667,1
1315101,13151,LZU,Gwinnett County - Briscoe Field,"Lawrenceville, GA",34,United States,US,Georgia,GA,13,33151,"Lawrenceville, GA",34,33,N,33.97777778,-83.96222222,0
1315102,13151,LZU,Gwinnett County - Briscoe Field,"Lawrenceville, GA",34,United States,US,Georgia,GA,13,33151,"Lawrenceville, GA",34,33,N,33.97805556,-83.96250000,1
1315201,13152,MA1,Katama Airpark,"Edgartown, MA",13,United States,US,Massachusetts,MA,25,33152,"Edgartown, MA",13,41,N,41.35833333,-70.52444444,1
1315301,13153,MAA,Madras International,"Madras, India",733,India,IN,,,,33153,"Madras, India",733,12,N,12.99333333,80.17694444,0
1315302,13153,MAA,Chennai International,"Chennai, India",733,India,IN,,,,33153,"Chennai, India",733,12,N,12.99333333,80.17694444,0
1315303,13153,MAA,Chennai International,"Chennai, India",733,India,IN,,,,33153,"Chennai, India",733,12,N,12.99444444,80.18055556,1
1315401,13154,MAB,Maraba Airport,"Maraba, Brazil",316,Brazil,BR,,,,33154,"Maraba, Brazil",316,5,S,-5.36666667,-49.16666667,0
1315402,13154,MAB,Maraba Airport,"Maraba, Brazil",316,Brazil,BR,,,,33154,"Maraba, Brazil",316,5,S,-5.36861111,-49.13805556,0
1315403,13154,MAB,Para Joao Correa Da Rocha,"Maraba, Brazil",316,Brazil,BR,,,,33154,"Maraba, Brazil",316,5,S,-5.36861111,-49.13805556,0
1315404,13154,MAB,Joao Correa Da Rocha,"Maraba, Brazil",316,Brazil,BR,,,,33154,"Maraba, Brazil",316,5,S,-5.36861111,-49.13805556,0
1315405,13154,MAB,Maraba Airport,"Maraba, Brazil",316,Brazil,BR,,,,33154,"Maraba, Brazil",316,5,S,-5.36861111,-49.13805556,0
1315406,13154,MAB,Joao Correa Da Rocha,"Maraba, Brazil",316,Brazil,BR,,,,33154,"Maraba, Brazil",316,5,S,-5.36861111,-49.13805556,1
1315501,13155,MAC,Macon Downtown,"Macon, GA",34,United States,US,Georgia,GA,13,33155,"Macon, GA",34,32,N,32.82250000,-83.56222222,0
1315502,13155,MAC,Macon Downtown,"Macon, GA",34,United States,US,Georgia,GA,13,33155,"Macon, GA",34,32,N,32.82222222,-83.56194444,0
1315503,13155,MAC,Macon Downtown,"Macon, GA",34,United States,US,Georgia,GA,13,33155,"Macon, GA",34,32,N,32.82166667,-83.56194444,0
1315504,13155,MAC,Macon Downtown,"Macon, GA",34,United States,US,Georgia,GA,13,33155,"Macon, GA",34,32,N,32.82222222,-83.56194444,0
1315505,13155,MAC,Macon Downtown,"Macon, GA",34,United States,US,Georgia,GA,13,33155,"Macon, GA",34,32,N,32.82166667,-83.56194444,1
1315601,13156,MAD,Barajas,"Madrid, Spain",482,Spain,ES,,,,31584,"Madrid, Spain",482,40,N,40.47361111,-3.56111111,0
1315602,13156,MAD,Barajas,"Madrid, Spain",482,Spain,ES,,,,31584,"Madrid, Spain",482,40,N,40.49555556,-3.56000000,0
1315603,13156,MAD,Adolfo Suarez Madrid Barajas,"Madrid, Spain",482,Spain,ES,,,,31584,"Madrid, Spain",482,40,N,40.49555556,-3.56000000,0
1315604,13156,MAD,Barajas,"Madrid, Spain",482,Spain,ES,,,,31584,"Madrid, Spain",482,40,N,40.49555556,-3.56000000,0
1315605,13156,MAD,Adolfo Suarez Madrid Barajas,"Madrid, Spain",482,Spain,ES,,,,31584,"Madrid, Spain",482,40,N,40.49555556,-3.56000000,0
1315606,13156,MAD,Adolfo Suarez Madrid Barajas,"Madrid, Spain",482,Spain,ES,,,,31584,"Madrid, Spain",482,40,N,40.49527778,-3.56027778,1
1315701,13157,MAE,Madera Municipal,"Madera, CA",91,United States,US,California,CA,06,33157,"Madera, CA",91,36,N,36.98777778,-120.11055556,0
1315702,13157,MAE,Madera Municipal,"Madera, CA",91,United States,US,California,CA,06,33157,"Madera, CA",91,36,N,36.98861111,-120.11250000,0
1315703,13157,MAE,Madera Municipal,"Madera, CA",91,United States,US,California,CA,06,33157,"Madera, CA",91,36,N,36.98638889,-120.11250000,0
1315704,13157,MAE,Madera Municipal,"Madera, CA",91,United States,US,California,CA,06,33157,"Madera, CA",91,36,N,36.98861111,-120.11250000,0
1315705,13157,MAE,Madera Municipal,"Madera, CA",91,United States,US,California,CA,06,33157,"Madera, CA",91,36,N,36.98638889,-120.11250000,0
1315706,13157,MAE,Madera Municipal,"Madera, CA",91,United States,US,California,CA,06,33157,"Madera, CA",91,36,N,36.98861111,-120.11250000,1
